"farm"	"broadclass"	"type"	"protein"	"gene"	"padj"	"median_feces"	"median_rumen"	"median_SNP"	"IQR_feces"	"IQR_rumen"	"IQR_SNP"	"prestotal_feces"	"prestotal_rumen"	"prestotal_SNP"	"persamp.pres_feces"	"persamp.pres_rumen"	"persamp.pres_SNP"
"1"	"Biocides"	"Acetate_resistance"	"Acetate_resistance_protein"	"LPDT"	0.0312523719165085	0.000273502731215663	0	0	0.00266675002331103	0.00026248415843067	0	9	5	2	0.1875	0.104166666666667	0.0416666666666667
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"EEFA"	0.0217857142857143	0	0	0	0	0.240785892098986	0	1	7	1	0.0208333333333333	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"GADA"	0	0.00109750920551486	0	0	0.00251255101299675	0	0	14	3	2	0.291666666666667	0.0625	0.0416666666666667
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"GADB"	0	0.00173883847024607	0	0	0.00270859720342019	0	0	14	2	2	0.291666666666667	0.0416666666666667	0.0416666666666667
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"GADC"	0.00254756380510441	0	0	0	0.00284913642231279	0	0	7	1	0	0.145833333333333	0.0208333333333333	0
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"HDEB"	0.00920754716981132	0	0	0	0.00367387871002988	0	0	5	0	0	0.104166666666667	0	0
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"YDEP"	0.00254756380510441	0.000141071981933981	0	0	0.0012248070248136	0	0	8	2	0	0.166666666666667	0.0416666666666667	0
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_regulator"	"EVGA"	0.0329606003752345	0	0	0	0.00242393847591576	0	0	5	1	0	0.104166666666667	0.0208333333333333	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMDA"	0.0434460431654676	0	0	0	0	0.336424588515938	0	1	6	1	0.0208333333333333	0.125	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMDB"	0	0.00483123084937584	0.00905207272796287	0	0.00700870311338619	0.00443893118440666	0	14	13	1	0.291666666666667	0.270833333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMRA"	0	0.17596055504783	0.0442911604721107	0	0.147774041975139	0.0591509771733804	0	14	13	0	0.291666666666667	0.270833333333333	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_protein"	"YJCG"	0.00714533622559653	0.000641530163049267	0	0	0.0026453303299922	0.000499300098150689	0	10	7	1	0.208333333333333	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	"OXYRKP"	0.0217857142857143	0	0	0	0	0.119049205062655	0	1	7	1	0.0208333333333333	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	"YDEO"	0.00920754716981132	0	0	0	0.00271511789807061	0	0	5	0	0	0.104166666666667	0	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"EMHB"	0	0.132181043852163	0.0371428146865457	0	0.108605092616541	0.063424087316116	0	16	12	1	0.333333333333333	0.25	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"KEXD"	0	0	0.0420460985970469	0	0	0.162560229536544	0	1	8	0	0.0208333333333333	0.166666666666667	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"MEXW"	0	0.0677125869520223	0.275888648651831	0	0.0966065488564755	0.290522062508602	0	13	16	2	0.270833333333333	0.333333333333333	0.0416666666666667
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"OPRM"	0.00920754716981132	0	0	0	0.414046191055181	0	0	5	0	0	0.104166666666667	0	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"SRPB"	0.00488	0	0	0	0	0.199655173355231	0	0	7	1	0	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TBTB"	0	0.0195367370861193	0.0183378601538303	0	0.0330712236459534	0.0138447410318929	0	13	16	1	0.270833333333333	0.333333333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"VMEI"	0	0	0.070003117020176	0	0	0.213227357293636	0	0	8	0	0	0.166666666666667	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"VMEQ"	0.00254756380510441	0	0	0	0.199343141317778	0	0	6	0	0	0.125	0	0
"1"	"Biocides"	"Peroxide_resistance"	"peroxide_resistance_protein"	"SODB"	0	0.00655049013303005	0.00274289692416211	0	0.0189947845528597	0.00303027248566356	0	14	14	0	0.291666666666667	0.291666666666667	0
"1"	"Biocides"	"Peroxide_resistance"	"peroxide_resistance_protein"	"YDEI"	0.00920754716981132	0	0	0	0.00277196741011127	0	0	5	0	0	0.104166666666667	0	0
"1"	"Biocides"	"Peroxide_resistance"	"Peroxide_resistance_stress_protein"	"IBPA"	0.0237288801571709	0	0	0	0.00466901674607946	0.000463556298742235	0	7	4	0	0.145833333333333	0.0833333333333333	0
