"farm"	"broadclass"	"type"	"protein"	"padj"	"median_feces"	"median_rumen"	"median_SNP"	"IQR_feces"	"IQR_rumen"	"IQR_SNP"	"prestotal_feces"	"prestotal_rumen"	"prestotal_SNP"	"persamp.pres_feces"	"persamp.pres_rumen"	"persamp.pres_SNP"
"1"	"Biocides"	"Acetate_resistance"	"Acetate_resistance_protein"	0.0223857868020305	0.000273502731215663	0	0	0.00266675002331103	0.00026248415843067	0	9	5	2	0.1875	0.104166666666667	0.0416666666666667
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	0	0	0	0	0.002019854444188	0	0	54	16	6	1.125	0.333333333333333	0.125
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_regulator"	0.0237575757575758	0	0	0	0.00242393847591576	0	0	5	1	0	0.104166666666667	0.0208333333333333	0
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	0	0	0.00545622177775253	0	0.113249257293356	0.0438085357933757	0	31	33	2	0.645833333333333	0.6875	0.0416666666666667
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_protein"	0.00323076923076923	0	0	0	0.000678498151180573	0	0	12	7	1	0.25	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	0.0091875	0	0	0	0.000835895315205263	0.000252752290286693	0	18	17	5	0.375	0.354166666666667	0.104166666666667
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	0	0	0	0	0.0284760202181455	0.0255605219541236	0	75	81	12	1.5625	1.6875	0.25
"1"	"Biocides"	"Peroxide_resistance"	"peroxide_resistance_protein"	0	0.000938874729538912	0	0	0.00860055952962944	0.00201944271090897	0	26	23	5	0.541666666666667	0.479166666666667	0.104166666666667
"1"	"Biocides"	"Peroxide_resistance"	"Peroxide_resistance_stress_protein"	0.00167045454545455	0	0	0	0.00490569808228985	0	0	13	7	1	0.270833333333333	0.145833333333333	0.0208333333333333
"1"	"Biocides"	"Phenolic_compound_resistance"	"Phenolic_RND_efflux_pump"	0.0120615384615385	0	0	0	0	0	0	7	2	0	0.145833333333333	0.0416666666666667	0
"1"	"Drugs"	"Aminocoumarins"	"Aminocoumarin_efflux_pump"	0	0.162807309926336	0.205260427535066	0	0.162814742579921	0.21876572995272	0	15	12	0	0.3125	0.25	0
"1"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	0	0.0785697717427794	0.0411959288365155	0	0.339777632336891	0.159141931643546	0.000441429795172263	48	48	14	1	1	0.291666666666667
"1"	"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	0	0	0	0	0.154092953286113	0	0	15	7	0	0.3125	0.145833333333333	0
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_efflux_pumps"	0.0374705882352941	0.000323668961911948	0	0	0.0020725571295094	0.00154969143292478	0	8	6	1	0.166666666666667	0.125	0.0208333333333333
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	0.00167045454545455	0	0	0	0.212368055789935	0.0576357646373774	0	21	18	6	0.4375	0.375	0.125
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	0	0.010347496431464	0.00061293059069226	0	0.284306411939868	0.0394745242067235	0	43	40	17	0.895833333333333	0.833333333333333	0.354166666666667
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	0	0.0106728115924048	0.0358186883993058	0	0.16073905097031	0.0835428162960501	0.00506016216872493	53	61	19	1.10416666666667	1.27083333333333	0.395833333333333
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	0	0.663683296093658	0.223056806352494	0.000181255390613567	0.373895006291415	0.147865501589371	0.000487596674137838	79	80	58	1.64583333333333	1.66666666666667	1.20833333333333
